NCBI.GeneID	Symbol	Description	Transcripts	Ensembl.GeneIDs	external_gene_name	chromosome_name	start_position	end_position
100008579	EGR1	early growth response 1	1	ENSTGUG00000000003	EGR1	13	18248309	18251453
751769	FOXP2	forkhead box P2	2	ENSTGUG00000005315	FoxP2	1A	23943069	24338982
751774	AR	androgen receptor	1	ENSTGUG00000002760	AR	4A	5983924	6016384
751777	CYP19A1	cytochrome P450, family 19, subfamily A, polypeptide 1	3	ENSTGUG00000006993	CYP19A1	10	9756645	9778519
100229034	DRD1	dopamine receptor D1	4	ENSTGUG00000000340	DRD1	13	15156556	15173222
751584	BDNF	brain derived neurotrophic factor	5	ENSTGUG00000004743	BDNF	5	1305219	1324159
100038821	NPVF	neuropeptide VF precursor	1	ENSTGUG00000002868	NPVF	2	33046543	33050309
100223892	CNTNAP2	contactin associated protein 2	1	ENSTGUG00000001794	CNTNAP2	2	49910715	50931872
751771	ALDH1A2	aldehyde dehydrogenase 1 family member A2	2	ENSTGUG00000006178	ALDH1A2	10	7562057	7639455
752001	ARC	activity regulated cytoskeleton associated protein	1	ENSTGUG00000012727	ARC	2	149214532	149220752
100008580	FNDC9	fibronectin type III domain containing 9	1	ENSTGUG00000000654	FNDC9	13	13736798	13739426
100229332	CARTPT	CART prepropeptide	1		NA	NA	NA	NA
751607	CNR1	cannabinoid receptor 1	1	ENSTGUG00000020322	CNR1	3	36104574	36124991
751985	NTRK2	neurotrophic receptor tyrosine kinase 2	8	ENSTGUG00000003077	NTRK2	Z	60611631	60807096
752002	DCX	doublecortin	5	ENSTGUG00000006180	DCX	4A	17661132	17738582
751975	ATP5F1A	ATP synthase F1 subunit alpha	1	ENSTGUG00000001582	ATP5F1A	Z	40984572	41030045
100220481	NEU3	neuraminidase 3	10		NA	NA	NA	NA
100221133	RPL7	ribosomal protein L7	1	ENSTGUG00000011518	RPL7	2	119615019	119639167
751780	SCAMP1	secretory carrier membrane protein 1	1	ENSTGUG00000003846	SCAMP1	Z	63794565	63834198
100232255	MATR3	matrin 3	5	ENSTGUG00000014568	MATR3	13	1367294	1403443
100190334	TBCA	tubulin folding cofactor A	1	ENSTGUG00000003968	TBCA	Z	64695084	64798006
100190794	DRD3	dopamine receptor D3	6	ENSTGUG00000013405	DRD3	1	21088918	21101212
100191006	FMR1	Fragile X messenger ribonucleoprotein 1	3	ENSTGUG00000004735	FMR1	4A	13146290	13179128
100219119	TH	tyrosine hydroxylase	1	ENSTGUG00000009295	TH	5	15106285	15129011
100220245	PLP1	proteolipid protein 1	2	ENSTGUG00000006519	PLP1	4A	18596033	18617830
100232668	CALB1	calbindin 1	1	ENSTGUG00000011825	CALB1	2	126168354	126186388
101233082	GPER1	G protein-coupled estrogen receptor 1	1		NA	NA	NA	NA
101233392	SLC17A6	solute carrier family 17 member 6	1	ENSTGUG00000004570	SLC17A6	5	520027	549614
101234064	STX1B	syntaxin 1B	3	ENSTGUG00000020044,ENSTGUG00000024695	NA	NA	NA	NA
121469642	NCOA1	nuclear receptor coactivator 1	1		NA	NA	NA	NA
751583	NCALD	neurocalcin delta	2	ENSTGUG00000022354	NCALD	2	130808150	130866251
751585	CREB1	cAMP responsive element binding protein 1	3	ENSTGUG00000021110	CREB1	7	20572915	20612503
751981	NEFM	neurofilament medium chain	1	ENSTGUG00000004494		22	2660317	2665724
751998	ESR1	estrogen receptor 1	1	ENSTGUG00000011249	ESR1	3	58011879	58171132
100221836	AVPR1A	arginine vasopressin receptor 1A	1	ENSTGUG00000020915		1A	30923691	30930102
100224503	OAZ2	ornithine decarboxylase antizyme 2	1	ENSTGUG00000004712	OAZ2	10	4334639	4347756
778443	CHD1W	chromo-helicase DNA-binding protein	1		NA	NA	NA	NA
100190318	SELENOF	selenoprotein F	1		NA	NA	NA	NA
100190409	NTS	neurotensin	1	ENSTGUG00000027877	NTS	1A	39505439	39522744
751589	UCHL1	ubiquitin C-terminal hydrolase L1	1	ENSTGUG00000008638	UCHL1	4	23789798	23797033
751982	SNAP25	synaptosome associated protein 25	2	ENSTGUG00000006133	SNAP25	3	89605981	89673062
100190228	PYCR1	pyrroline-5-carboxylate reductase 1	2	ENSTGUG00000003568	PYCR1	18	2223551	2226606
100190636	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2		NA	NA	NA	NA
100223555	CYCS	cytochrome c, somatic	1		NA	NA	NA	NA
100231953	SELENOP	selenoprotein P	1		NA	NA	NA	NA
100224220	CYP2J40	cytochrome P450 2J40	1		NA	NA	NA	NA
100008581	FNTM1	fibronectin type III and transmembrane containing protein 1	1	ENSTGUG00000010550		1	81300778	81305365
100008583	NR3C1	nuclear receptor subfamily 3 group C member 1	2	ENSTGUG00000000140	NR3C1	13	17500839	17562191
100191007	DRD2	dopamine receptor D2	5	ENSTGUG00000000255	DRD2	24	6463065	6490464
100217817	FEM1C	fem-1 homolog C	3	ENSTGUG00000025986	FEM1C	Z	35514812	35531910
100218049	MBNL2	muscleblind like splicing regulator 2	17	ENSTGUG00000011104	MBNL2	1	74188752	74341924
100219518	DUSP1	dual specificity phosphatase 1	1	ENSTGUG00000000299	DUSP1	13	16133668	16136330
100219758	CRHR2	corticotropin releasing hormone receptor 2	3	ENSTGUG00000000359	CRHR2	2	4160827	4312692
100220804	HSDL1	hydroxysteroid dehydrogenase like 1	2		NA	NA	NA	NA
100223670	CRHR1	corticotropin releasing hormone receptor 1	3	ENSTGUG00000003182	CRHR1	27	4733902	4765305
100224895	NTSR1	neurotensin receptor 1	1	ENSTGUG00000029344	NTSR1	20	9605899	9661955
751775	GRIA2	glutamate ionotropic receptor AMPA type subunit 2	2	ENSTGUG00000005484	GRIA2	4	41333445	41421146
751776	NR3C2	nuclear receptor subfamily 3 group C member 2	2	ENSTGUG00000002577	NR3C2	4	58312912	58502749
751983	SYNPR	synaptoporin	2	ENSTGUG00000018356	SYNPR	12	6751160	6851612
100190047	HBAD	hemoglobin alpha, subunit D	1	ENSTGUG00000004381	HBAD	14	13781467	13784204
100190494	HBAA	hemoglobin alpha, subunit A	1	ENSTGUG00000004372	HBAA	14	13786374	13787169
751582	SNCA	synuclein alpha	3	ENSTGUG00000003065	SNCA	4	53351577	53463073
100218825	MBNL1	muscleblind like splicing regulator 1	34	ENSTGUG00000011341	MBNL1	9	25048735	25091152
100221702	PALM2AKAP2	PALM2 and AKAP2 fusion	10	ENSTGUG00000001233		Z	33727485	33997298
100038820	TRPV1	transient receptor potential cation channel subfamily V member 1	3	ENSTGUG00000006952	TRPV1	19	3314296	3335312
100190498	OAZ1	ornithine decarboxylase antizyme 1	1	ENSTGUG00000000312	OAZ1	28	3891795	4027562
100219060	PNPLA2	patatin like phospholipase domain containing 2	1	ENSTGUG00000009785	PNPLA2	5	17198398	17229719
100222603	ZFAND3	zinc finger AN1-type containing 3	3	ENSTGUG00000025476	ZFAND3	3	83694590	83850537
100231073	HTR2A	5-hydroxytryptamine receptor 2A	2	ENSTGUG00000012255	HTR2A	1	58492135	58519216
100231995	HTR2C	5-hydroxytryptamine receptor 2C	10	ENSTGUG00000020701	HTR2C	4A	19341031	19583269
115493143	NAPA	NSF attachment protein alpha	3		NA	NA	NA	NA
751586	MTNR1A	melatonin receptor 1A	1	ENSTGUG00000006983	MTNR1A	4	31196732	31246599
751588	MTNR1B	melatonin receptor 1B	1		NA	NA	NA	NA
751977	VIT2	vitellogenin 2	1	ENSTGUG00000006544		8	15708465	15731985
751978	ACTB	actin beta	1	ENSTGUG00000004138	ACTB	14	4959354	4964155
100190446	SELENOT	selenoprotein T	1		NA	NA	NA	NA
751988	RPL37	ribosomal protein L37	1		NA	NA	NA	NA
751989	RPL17	ribosomal protein L17	3	ENSTGUG00000000044,ENSTGUG00000028072	NA	NA	NA	NA
100190480	PRXL2A	peroxiredoxin like 2A	2		NA	NA	NA	NA
100218097	BMP6	bone morphogenetic protein 6	1		NA	NA	NA	NA
100218108	BMP2	bone morphogenetic protein 2	2	ENSTGUG00000018981	BMP2	3	88314656	88320170
100221468	ADRA1D	adrenoceptor alpha 1D	1	ENSTGUG00000021977	ADRA1D	4	3626753	3669357
100221891	BMP4	bone morphogenetic protein 4	2	ENSTGUG00000013095	BMP4	5	58778196	58799663
100229616	BMP7	bone morphogenetic protein 7	1	ENSTGUG00000020187	BMP7	20	12242624	12284851
100231407	ADRA2A	adrenoceptor alpha 2A	1		NA	NA	NA	NA
101233463	ADRA2C	adrenoceptor alpha 2C	1	ENSTGUG00000010321	ADRA2C	4	10424883	10426217
751992	GABRA1	gamma-aminobutyric acid type A receptor subunit alpha1	3	ENSTGUG00000001457	GABRA1	13	2868955	2970344
751993	STXBP1	syntaxin binding protein 1	2	ENSTGUG00000003117	STXBP1	17	2875754	2899083
100222035	AZIN1	antizyme inhibitor 1	2	ENSTGUG00000012128	AZIN1	2	131192964	131218502
100220482	CSF1R	colony stimulating factor 1 receptor	1	ENSTGUG00000000965	CSF1R	13	11647039	11666678
100223762	NRG1	neuregulin 1	10	ENSTGUG00000000280	NRG1	Z	4161859	4436802
100232797	VT1	vasotocin receptor 1	1	ENSTGUG00000005614		1A	26304509	26310503
100499187	CSF1	colony stimulating factor 1	6	ENSTGUG00000028039		26	4942401	5032856
100499188	IL34	interleukin 34	2	ENSTGUG00000006078	IL34	11	4414835	4420799
751956	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	2	ENSTGUG00000009456	GRIN2B	1A	45700554	45907825
751962	GRM3	glutamate metabotropic receptor 3	4	ENSTGUG00000002399	GRM3	1A	6280395	6382642
100223286	TMEM8B	transmembrane protein 8B	1		NA	NA	NA	NA
100223568	ZNG1A	Zn regulated GTPase metalloprotein activator 1A	2	ENSTGUG00000005631		Z	67311752	67333550
751773	ZFAND5	zinc finger AN1-type containing 5	3	ENSTGUG00000028590	ZFAND5	Z	12965369	12984755
751990	GOLPH3	golgi phosphoprotein 3	1	ENSTGUG00000001905	GOLPH3	Z	48551294	48579809
778442	GAD1	glutamate decarboxylase 1	1	ENSTGUG00000008060	GAD1	7	14376276	14409330
778447	GAD2	glutamate decarboxylase 2	2	ENSTGUG00000001148	GAD2	2	17141126	17181966
100049550	UBE2R2	ubiquitin conjugating enzyme E2 R2	1		NA	NA	NA	NA
100190142	RRP7A	ribosomal RNA processing 7 homolog A	3	ENSTGUG00000009647	RRP7A	1A	46379700	46389830
100190152	UCK2	uridine-cytidine kinase 2	1		NA	NA	NA	NA
100190197	COX19	COX19 cytochrome c oxidase assembly homolog (S. cerevisiae)	1		NA	NA	NA	NA
100190278	ITPA	inosine triphosphatase	1	ENSTGUG00000017279	ITPA	8	31037971	31041346
100190288	RPS3A	ribosomal protein S3A	1	ENSTGUG00000029174	RPS3A	4	43924493	43934025
100190304	CNEP1R1	CTD nuclear envelope phosphatase 1 regulatory subunit 1	1	ENSTGUG00000022831	CNEP1R1	11	12510429	12537790
100190342	VSNL1	visinin like 1	3		NA	NA	NA	NA
100190366	TXN	thioredoxin	1	ENSTGUG00000001294	TXN	Z	34707823	34717195
100190423	GPX4	glutathione peroxidase 4	1		NA	NA	NA	NA
100190680	RAB1A	RAB1A, member RAS oncogene family	1	ENSTGUG00000002328	RAB1A	3	111359394	111390177
100190705	POLR2F	RNA polymerase II, I and III subunit F	1	ENSTGUG00000010476	POLR2F	1A	48514468	48518327
100190757	NME2	NME/NM23 nucleoside diphosphate kinase 2	1	ENSTGUG00000009349	NME2	18	9580710	9583488
100220140	PSMD1	proteasome 26S subunit, non-ATPase 1	1	ENSTGUG00000009697	PSMD1	9	16157749	16223690
100222079	TXNRD3	thioredoxin reductase 3	1	ENSTGUG00000008152	TXNRD3	12	10127069	10145317
100226827	ASB3	ankyrin repeat and SOCS box containing 3	1		NA	NA	NA	NA
