NCBI GeneID	Symbol	Description	Transcripts	Ensembl GeneIDs
100008579	EGR1	early growth response 1	1	ENSTGUG00000000003
751769	FOXP2	forkhead box P2	2	ENSTGUG00000005315
751774	AR	androgen receptor	1	ENSTGUG00000002760
751777	CYP19A1	cytochrome P450, family 19, subfamily A, polypeptide 1	3	ENSTGUG00000006993
100229034	DRD1	dopamine receptor D1	4	ENSTGUG00000000340
751584	BDNF	brain derived neurotrophic factor	5	ENSTGUG00000004743
100038821	NPVF	neuropeptide VF precursor	1	ENSTGUG00000002868
100223892	CNTNAP2	contactin associated protein 2	1	ENSTGUG00000001794
751771	ALDH1A2	aldehyde dehydrogenase 1 family member A2	2	ENSTGUG00000006178
752001	ARC	activity regulated cytoskeleton associated protein	1	ENSTGUG00000012727
100008580	FNDC9	fibronectin type III domain containing 9	1	ENSTGUG00000000654
100229332	CARTPT	CART prepropeptide	1	
751607	CNR1	cannabinoid receptor 1	1	ENSTGUG00000020322
751985	NTRK2	neurotrophic receptor tyrosine kinase 2	8	ENSTGUG00000003077
752002	DCX	doublecortin	5	ENSTGUG00000006180
751975	ATP5F1A	ATP synthase F1 subunit alpha	1	ENSTGUG00000001582
100220481	NEU3	neuraminidase 3	10	
100221133	RPL7	ribosomal protein L7	1	ENSTGUG00000011518
751780	SCAMP1	secretory carrier membrane protein 1	1	ENSTGUG00000003846
100232255	MATR3	matrin 3	5	ENSTGUG00000014568
100190334	TBCA	tubulin folding cofactor A	1	ENSTGUG00000003968
100190794	DRD3	dopamine receptor D3	6	ENSTGUG00000013405
100191006	FMR1	Fragile X messenger ribonucleoprotein 1	3	ENSTGUG00000004735
100219119	TH	tyrosine hydroxylase	1	ENSTGUG00000009295
100220245	PLP1	proteolipid protein 1	2	ENSTGUG00000006519
100232668	CALB1	calbindin 1	1	ENSTGUG00000011825
101233082	GPER1	G protein-coupled estrogen receptor 1	1	
101233392	SLC17A6	solute carrier family 17 member 6	1	ENSTGUG00000004570
101234064	STX1B	syntaxin 1B	3	ENSTGUG00000020044,ENSTGUG00000024695
121469642	NCOA1	nuclear receptor coactivator 1	1	
751583	NCALD	neurocalcin delta	2	ENSTGUG00000022354
751585	CREB1	cAMP responsive element binding protein 1	3	ENSTGUG00000021110
751981	NEFM	neurofilament medium chain	1	ENSTGUG00000004494
751998	ESR1	estrogen receptor 1	1	ENSTGUG00000011249
100221836	AVPR1A	arginine vasopressin receptor 1A	1	ENSTGUG00000020915
100224503	OAZ2	ornithine decarboxylase antizyme 2	1	ENSTGUG00000004712
778443	CHD1W	chromo-helicase DNA-binding protein	1	
100190318	SELENOF	selenoprotein F	1	
100190409	NTS	neurotensin	1	ENSTGUG00000027877
751589	UCHL1	ubiquitin C-terminal hydrolase L1	1	ENSTGUG00000008638
751982	SNAP25	synaptosome associated protein 25	2	ENSTGUG00000006133
100190228	PYCR1	pyrroline-5-carboxylate reductase 1	2	ENSTGUG00000003568
100190636	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	2	
100223555	CYCS	cytochrome c, somatic	1	
100231953	SELENOP	selenoprotein P	1	
100224220	CYP2J40	cytochrome P450 2J40	1	
100008581	FNTM1	fibronectin type III and transmembrane containing protein 1	1	ENSTGUG00000010550
100008583	NR3C1	nuclear receptor subfamily 3 group C member 1	2	ENSTGUG00000000140
100191007	DRD2	dopamine receptor D2	5	ENSTGUG00000000255
100217817	FEM1C	fem-1 homolog C	3	ENSTGUG00000025986
100218049	MBNL2	muscleblind like splicing regulator 2	17	ENSTGUG00000011104
100219518	DUSP1	dual specificity phosphatase 1	1	ENSTGUG00000000299
100219758	CRHR2	corticotropin releasing hormone receptor 2	3	ENSTGUG00000000359
100220804	HSDL1	hydroxysteroid dehydrogenase like 1	2	
100223670	CRHR1	corticotropin releasing hormone receptor 1	3	ENSTGUG00000003182
100224895	NTSR1	neurotensin receptor 1	1	ENSTGUG00000029344
751775	GRIA2	glutamate ionotropic receptor AMPA type subunit 2	2	ENSTGUG00000005484
751776	NR3C2	nuclear receptor subfamily 3 group C member 2	2	ENSTGUG00000002577
751983	SYNPR	synaptoporin	2	ENSTGUG00000018356
100190047	HBAD	hemoglobin alpha, subunit D	1	ENSTGUG00000004381
100190494	HBAA	hemoglobin alpha, subunit A	1	ENSTGUG00000004372
751582	SNCA	synuclein alpha	3	ENSTGUG00000003065
100218825	MBNL1	muscleblind like splicing regulator 1	34	ENSTGUG00000011341
100221702	PALM2AKAP2	PALM2 and AKAP2 fusion	10	ENSTGUG00000001233
100038820	TRPV1	transient receptor potential cation channel subfamily V member 1	3	ENSTGUG00000006952
100190498	OAZ1	ornithine decarboxylase antizyme 1	1	ENSTGUG00000000312
100219060	PNPLA2	patatin like phospholipase domain containing 2	1	ENSTGUG00000009785
100222603	ZFAND3	zinc finger AN1-type containing 3	3	ENSTGUG00000025476
100231073	HTR2A	5-hydroxytryptamine receptor 2A	2	ENSTGUG00000012255
100231995	HTR2C	5-hydroxytryptamine receptor 2C	10	ENSTGUG00000020701
115493143	NAPA	NSF attachment protein alpha	3	
751586	MTNR1A	melatonin receptor 1A	1	ENSTGUG00000006983
751588	MTNR1B	melatonin receptor 1B	1	
751977	VIT2	vitellogenin 2	1	ENSTGUG00000006544
751978	ACTB	actin beta	1	ENSTGUG00000004138
100190446	SELENOT	selenoprotein T	1	
751988	RPL37	ribosomal protein L37	1	
751989	RPL17	ribosomal protein L17	3	ENSTGUG00000000044,ENSTGUG00000028072
100190480	PRXL2A	peroxiredoxin like 2A	2	
100218097	BMP6	bone morphogenetic protein 6	1	
100218108	BMP2	bone morphogenetic protein 2	2	ENSTGUG00000018981
100221468	ADRA1D	adrenoceptor alpha 1D	1	ENSTGUG00000021977
100221891	BMP4	bone morphogenetic protein 4	2	ENSTGUG00000013095
100229616	BMP7	bone morphogenetic protein 7	1	ENSTGUG00000020187
100231407	ADRA2A	adrenoceptor alpha 2A	1	
101233463	ADRA2C	adrenoceptor alpha 2C	1	ENSTGUG00000010321
751992	GABRA1	gamma-aminobutyric acid type A receptor subunit alpha1	3	ENSTGUG00000001457
751993	STXBP1	syntaxin binding protein 1	2	ENSTGUG00000003117
100222035	AZIN1	antizyme inhibitor 1	2	ENSTGUG00000012128
100220482	CSF1R	colony stimulating factor 1 receptor	1	ENSTGUG00000000965
100223762	NRG1	neuregulin 1	10	ENSTGUG00000000280
100232797	VT1	vasotocin receptor 1	1	ENSTGUG00000005614
100499187	CSF1	colony stimulating factor 1	6	ENSTGUG00000028039
100499188	IL34	interleukin 34	2	ENSTGUG00000006078
751956	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	2	ENSTGUG00000009456
751962	GRM3	glutamate metabotropic receptor 3	4	ENSTGUG00000002399
100223286	TMEM8B	transmembrane protein 8B	1	
100223568	ZNG1A	Zn regulated GTPase metalloprotein activator 1A	2	ENSTGUG00000005631
751773	ZFAND5	zinc finger AN1-type containing 5	3	ENSTGUG00000028590
751990	GOLPH3	golgi phosphoprotein 3	1	ENSTGUG00000001905
778442	GAD1	glutamate decarboxylase 1	1	ENSTGUG00000008060
778447	GAD2	glutamate decarboxylase 2	2	ENSTGUG00000001148
100049550	UBE2R2	ubiquitin conjugating enzyme E2 R2	1	
100190142	RRP7A	ribosomal RNA processing 7 homolog A	3	ENSTGUG00000009647
100190152	UCK2	uridine-cytidine kinase 2	1	
100190197	COX19	COX19 cytochrome c oxidase assembly homolog (S. cerevisiae)	1	
100190278	ITPA	inosine triphosphatase	1	ENSTGUG00000017279
100190288	RPS3A	ribosomal protein S3A	1	ENSTGUG00000029174
100190304	CNEP1R1	CTD nuclear envelope phosphatase 1 regulatory subunit 1	1	ENSTGUG00000022831
100190342	VSNL1	visinin like 1	3	
100190366	TXN	thioredoxin	1	ENSTGUG00000001294
100190423	GPX4	glutathione peroxidase 4	1	
100190680	RAB1A	RAB1A, member RAS oncogene family	1	ENSTGUG00000002328
100190705	POLR2F	RNA polymerase II, I and III subunit F	1	ENSTGUG00000010476
100190757	NME2	NME/NM23 nucleoside diphosphate kinase 2	1	ENSTGUG00000009349
100220140	PSMD1	proteasome 26S subunit, non-ATPase 1	1	ENSTGUG00000009697
100222079	TXNRD3	thioredoxin reductase 3	1	ENSTGUG00000008152
100226827	ASB3	ankyrin repeat and SOCS box containing 3	1	
100229691	COX7A2	cytochrome c oxidase subunit VIIa polypeptide 2 (liver)	1	ENSTGUG00000012645
100232597	TALDO1	transaldolase 1	1	ENSTGUG00000007821
100534626	PGD	phosphogluconate dehydrogenase	1	ENSTGUG00000003302
100226267	RORB	RAR related orphan receptor B	2	ENSTGUG00000000785
105758458	KCNH5	potassium voltage-gated channel subfamily H member 5	1	ENSTGUG00000012967
100190545	PPID	peptidylprolyl isomerase D	1	ENSTGUG00000005656
100227851	MRPL51	mitochondrial ribosomal protein L51	1	
778444	CHD1	chromodomain helicase DNA binding protein 1	2	ENSTGUG00000001185
100232439	GRIK3	glutamate ionotropic receptor kainate type subunit 3	1	ENSTGUG00000001569
751779	GRIN1	glutamate ionotropic receptor NMDA type subunit 1	22	ENSTGUG00000002568
751952	GRIA1	glutamate ionotropic receptor AMPA type subunit 1	4	ENSTGUG00000000726
751953	GRIA3	glutamate ionotropic receptor AMPA type subunit 3	9	ENSTGUG00000003563
751954	GRIA4	glutamate ionotropic receptor AMPA type subunit 4	9	ENSTGUG00000012676
